name,featured_artist,Track Genre,track_id,explicit,duration_in_days,artists,cover_url
Kender du Emma?,No Features,Pop,1qYmvwV5Fd5KOs3kkiN8DY,FALSE,2,Jeppe Loftager,
夏夜晚風,No Features,Pop,4G4HLUXn2aIIaaIRTZQ4vZ,FALSE,2,Wu Bai,
Tid Til Mig,No Features,Pop,48h6C5H7OM6OCfGjuwx7W0,FALSE,2,Jimilian,
"Believe - From ""Descendants""/Soundtrack Version",No Features,Pop,0fgG2tfEIU9BtvEzAo8j1j,FALSE,2,Shawn Mendes,
Motora,No Features,Pop,0Qz8jS60RbKqb5uW4dB7Pt,FALSE,2,La Máquina Camaleón,
Pour Me a Drink,No Features,Pop,1ebcm76NK3TarOZBvBRz3P,FALSE,2,Chike,
Jel dod man bučiņ’,No Features,Pop,52in6dSmvaTn77YABhoNIm,FALSE,2,Žoržs Siksna,
Más Que Tu Amigo,No Features,Pop,1Vy7WUJubV9JEoebuJ9dfe,FALSE,2,Marco Antonio Solís,
A Supplementary Story : You Never Walk Alone,No Features,Pop,51VVGOs2dv8dQhycnxr9pa,FALSE,2,Bts,
הפוך מהיקום,No Features,Pop,1gZr6WBxvy8ybWb2CeWR9B,FALSE,2,Eyal Golan,
Like No One's Watching,No Features,Pop,0seWbF1zqWCa0dkMupdd0S,FALSE,2,Molly Sandén,
Koska mä pelkään,No Features,Pop,76hl8HH7mHocjMX2zHBxZe,FALSE,2,Keko Salata,
Ishq Tera,No Features,Pop,1aUfggX5E0nKDikNuiDQ3D,FALSE,2,Guru Randhawa,
De Mist In,No Features,Pop,3Bwgy4SrCrnp6eaTFhLhvi,FALSE,2,Valsbezig,
Airdrop,No Features,Pop,3x0I8b2102AeAlt60vpJmb,FALSE,2,Tachi,
sinise leegiga,No Features,Pop,1YBW00wSL2D6T726gOht9r,FALSE,2,Maian,
Bumpperi,No Features,Pop,2OYfRR8qqTGmcr38MkWim7,FALSE,2,Lord Est,
Follaa,No Features,Pop,4JLFt4oYExXL7IFxT8tdQd,FALSE,2,Kube,
SMRC,No Features,Pop,0UUDC1UKuvJ7OeCpvbUQha,FALSE,2,Julia Wieniawa,
We Go Up,No Features,Pop,26vOBLHS116a4WNUVlvAUW,FALSE,2,Nct Dream,
Cry For Love,No Features,Pop,4QqROKO0RtV5CvxE7g90uw,FALSE,2,Baekhyun,
Mary's Story,No Features,Pop,34d5DHEt5lyQr32be5X7cV,FALSE,2,Ina Wroldsen,
One More Second,No Features,Pop,0nAo3RrqcYHauN7eIQIJJz,FALSE,2,Marcus & Martinus,
Tuju,No Features,Pop,4Wrko6Z1GXaiiY75DBOv4j,FALSE,2,Meelik,
Does It Matter,No Features,Pop,7FxidSR6IoL3qMRXxFJ8pd,FALSE,2,Janieck,
Fljótur Að Fá Það,No Features,Pop,3s8HIGGOMafj9Q2d1UG279,FALSE,2,Séra Bjössi,
Ölümüne,No Features,Pop,7jeAbZgQ2eD6N3mDB3F2Im,FALSE,2,Soner Sarıkabadayı,
Elevador - Ao Vivo,No Features,Pop,20yfr4F5QmZ5V3Cu1Rx4Kp,FALSE,2,Lauana Prado,
太陽,No Features,Pop,3Bij7rScgMAWeCXpA3qJk9,FALSE,2,瘦子e.So,
Teeth,No Features,Pop,26wLOs3ZuHJa2Ihhx6QIE6,FALSE,2,5 Seconds Of Summer,
As It Was,No Features,Pop,4Dvkj6JhhA12EX05fT7y2e,FALSE,2,Harry Styles,
Buonanotte Amò,No Features,Pop,0G9rMKBc4l9Knfd1Sw1cdi,FALSE,2,Rocco Hunt,
California Christmas,No Features,Pop,4MrTVyoR7womFNRbHRcnVI,FALSE,2,Judy Blank,
Kobra,No Features,Pop,0omsXk5kr8yUfpzwvAiRXB,FALSE,2,Mahmood,
I Won't Tell a Soul,No Features,Pop,7uFhHMYpEC2MLXwxt64pMD,FALSE,2,Charlie Puth,
Donde nacen tus besos,No Features,Pop,0EZ44xCwZmS11LseSvzr8I,FALSE,2,Juan Luis Guerra 4.40,
Police Entry,No Features,Pop,4EXkaepYQaJAstycMOhQnX,FALSE,2,Elizabeth Tan,
Champagne,No Features,Pop,7fYE7BT9Na8XpALQwuhIwX,FALSE,2,Diljit Dosanjh,
Gayya Maak,No Features,Pop,2PptOf9L9zif2hT0nRq8OJ,FALSE,2,Nancy Ajram,
kamera demon,No Features,Pop,2S4dVxsSZdAjNFuqoVQkLv,FALSE,2,Dutty Dior,
Therapy,No Features,Pop,0jB3N3PdJlrOcsG7UZ1IOF,FALSE,2,Brooke Fraser,
REMEDY,No Features,Pop,6jreFSOTUAViWjKyzOC4Kg,FALSE,2,Alesso,
Hugarró,No Features,Pop,2t2n5aiKrkWEWEVJuhodl8,FALSE,2,Gdrn,
I Need Your Love,No Features,Pop,5BapvwCsATtPLfHA5aZ96a,FALSE,2,Albin Lee Meldau,
Fuego,No Features,Pop,2x6WhnhzmKMbG1oO5fIW5G,FALSE,2,Ozuna,
Lili Nhari,No Features,Pop,3ukdQfWkGzNZN3gxB2us7O,FALSE,2,Zouhair Bahaoui,
